,Unnamed: 0,Name,Score,Review,Link,Addr,lat,lng
50,237,함흥냉면,3.8,14,https://place.map.kakao.com/16883945,"
서울 관악구 봉천로 586
(지번) 봉천동 1630-4
",37.4766298,126.9622381
51,239,신우리냉면,4.0,13,https://place.map.kakao.com/25068727,"
경기 부천시 까치로6번길 7-4 1층
(지번) 작동 427-5
",37.5071257,126.8090504
52,255,청송함흥냉면전문점 본관,3.6,100,https://place.map.kakao.com/8088062,"
서울 서대문구 연희맛로 6 1층
(지번) 연희동 193-6
",37.5658511,126.9287741
53,257,대동관,4.4,11,https://place.map.kakao.com/745047863,"
서울 마포구 모래내로7길 62 1층
(지번) 성산동 138-4
",37.5676605,126.9095886
54,259,유정우함흥냉면,4.0,49,https://place.map.kakao.com/12045926,"
서울 동작구 동작대로29다길 7-1
(지번) 사당동 91-3
",37.488551,126.9802877
55,262,안영자면옥,3.3,19,https://place.map.kakao.com/74610229,"
서울 강서구 마곡중앙4로 22 파인스퀘어 A동 1층 101,102호
(지번) 마곡동 799-11
",37.5584156,126.8294265
56,265,평택고여사집냉면,4.0,36,https://place.map.kakao.com/10161291,"
서울 서대문구 연희로 81-9 1층
(지번) 연희동 193-13
",37.5656374,126.9292481
57,267,의정부평양면옥 마곡본점,3.8,21,https://place.map.kakao.com/1462046162,"
서울 강서구 마곡중앙6로 45 리더스퀘어 2층 207호
(지번) 마곡동 772-5
",37.5606375,126.8327344
58,273,산까치냉면,3.3,39,https://place.map.kakao.com/19153287,"
서울 마포구 도화길 35
(지번) 도화동 179-1
",37.5411433,126.949574
59,292,송주불냉면 부천남부점,5.0,10,https://place.map.kakao.com/874809518,"
경기 부천시 성주로270번길 12
(지번) 심곡본동 731-3
",37.4822342,126.7827507
60,311,오복함흥냉면,3.2,216,https://place.map.kakao.com/15338847,"
서울 용산구 한강대로84길 4
(지번) 남영동 61-3
",37.5434286,126.972854
61,323,산골녹차냉면 본점,3.4,21,https://place.map.kakao.com/13096291,"
서울 용산구 효창원로 147 1층
(지번) 효창동 5-327
",37.5412472,126.961833
62,329,삼복가 본점,3.9,16,https://place.map.kakao.com/21320810,"
경기 부천시 수도로 21
(지번) 약대동 139-3
",37.5129195,126.768817
63,331,이수면옥,3.8,15,https://place.map.kakao.com/27282095,"
서울 동작구 동작대로 123
(지번) 사당동 134-3
",37.4876722,126.981825
64,337,동아냉면 숙대2호점,3.5,41,https://place.map.kakao.com/15754874,"
서울 용산구 청파로45길 20
(지번) 청파동3가 24-24
",37.5444495,126.9695504
65,342,하연옥 용산직영점,3.5,11,https://place.map.kakao.com/1638766254,"
서울 용산구 한강대로40가길 42 2층
(지번) 한강로2가 49-1
",37.5315725,126.9725188
66,345,경복궁함흥냉면,5.0,10,https://place.map.kakao.com/1970806474,"
서울 동작구 동작대로27길 16-7
(지번) 사당동 130-13
",37.4878542,126.9809824
67,353,수라면옥 연희점,4.0,12,https://place.map.kakao.com/1657202685,"
서울 서대문구 연희로25길 81
(지번) 연희동 89-31
",37.5700313,126.9326887
68,365,냉면제면소,4.0,10,https://place.map.kakao.com/1452868503,"
경기 시흥시 대골안길 83-1 1층
(지번) 대야동 499-14
",37.4423547,126.7864573
69,366,흥미면옥,4.6,10,https://place.map.kakao.com/1999359775,"
서울 서초구 방배로 242 1층
(지번) 방배동 773-7
",37.4946505,126.9895559
70,370,소래산면옥,4.0,26,https://place.map.kakao.com/1519216013,"
인천 남동구 만의골로189번길 47
(지번) 장수동 114
",37.4598763,126.7705135
71,385,개성면옥 박달점,3.5,11,https://place.map.kakao.com/8702805,"
경기 안양시 만안구 박달로 579 2층
(지번) 안양2동 693-2
",37.4029052,126.9171898
72,386,부원면옥,3.2,159,https://place.map.kakao.com/7914330,"
서울 중구 남대문시장4길 41-6 부원상가 2층
(지번) 남창동 47-10
",37.558399,126.9775935
73,388,서관면옥,4.0,148,https://place.map.kakao.com/34321780,"
서울 서초구 서초대로56길 11 1층
(지번) 서초동 1675-5
",37.4939535,127.0172588
74,390,할매냉면 박달점,5.0,15,https://place.map.kakao.com/21231870,"
경기 안양시 만안구 양화로 120
(지번) 박달동 20-34
",37.4033469,126.9102371
75,392,진미평양냉면,3.6,899,https://place.map.kakao.com/27584230,"
서울 강남구 학동로 305-3 정각빌딩 1층
(지번) 논현동 115-10
",37.5161072,127.0360301
76,393,설눈,3.9,123,https://place.map.kakao.com/1495657850,"
서울 서초구 서초대로46길 20-7 영토빌딩 1층
(지번) 서초동 1551-9
",37.4911967,127.0097558
77,395,우래옥 본점,4.0,897,https://place.map.kakao.com/8025375,"
서울 중구 창경궁로 62-29
(지번) 주교동 118-1
",37.5681851,126.9987092
78,399,필동면옥,3.7,555,https://place.map.kakao.com/11231325,"
서울 중구 서애로 26
(지번) 필동3가 1-5
",37.5603604,126.9969996
79,400,서래말면옥집,3.4,27,https://place.map.kakao.com/811131394,"
서울 서초구 사평대로26길 47 2층
(지번) 반포동 72-10
",37.498008,126.9992026
80,402,평양면옥,3.3,450,https://place.map.kakao.com/13093208,"
서울 중구 장충단로 207
(지번) 장충동1가 13
",37.5629921,127.0064576
81,404,오장동흥남집 본점,3.6,272,https://place.map.kakao.com/8174854,"
서울 중구 마른내로 114
(지번) 오장동 101-7
",37.564238,127.000555
82,407,관악관,4.0,94,https://place.map.kakao.com/8658634,"
경기 안양시 동안구 평촌대로 367 1층
(지번) 비산동 1027
",37.40330910000001,126.9490683
83,409,유진식당,3.5,200,https://place.map.kakao.com/8041476,"
서울 종로구 종로17길 40
(지번) 낙원동 221
",37.5719638,126.9883198
84,410,능라도 강남점,3.8,125,https://place.map.kakao.com/27261403,"
서울 강남구 삼성로 534 싹아트센터 1층
(지번) 삼성동 151-7
",37.5096357,127.0555218
85,411,성북동면옥집,3.0,252,https://place.map.kakao.com/27226419,"
서울 성북구 대사관로 40
(지번) 성북동 330-105
",37.5958581,126.988618
86,413,피양옥,3.5,188,https://place.map.kakao.com/2111300834,"
서울 강남구 삼성로133길 14 1층 101호
(지번) 청담동 32-6
",37.5194127,127.0483035
87,414,강남면옥 신사점,3.3,91,https://place.map.kakao.com/8163082,"
서울 강남구 논현로152길 34 1층
(지번) 신사동 588-9
",37.52138980000001,127.0309314
88,415,을밀대 강남점,3.3,186,https://place.map.kakao.com/12418029,"
서울 강남구 테헤란로4길 46 지하1층
(지번) 역삼동 826-37
",37.4953323,127.0303725
89,417,송주 불냉면&수제왕돈까스 안양본점,4.0,12,https://place.map.kakao.com/17174682,"
경기 안양시 만안구 안양로257번길 14
(지번) 안양동 627-43
",37.395424,126.9230301
90,418,평양면옥,3.1,95,https://place.map.kakao.com/8130016,"
서울 강남구 논현로150길 6
(지번) 논현동 66-2
",37.5189036,127.0291479
91,421,해주냉면,3.4,412,https://place.map.kakao.com/25049102,"
서울 송파구 백제고분로7길 8-16 1층
(지번) 잠실동 195-9
",37.5096153,127.0797604
92,422,강남면옥 명동점,3.5,52,https://place.map.kakao.com/25733230,"
서울 중구 명동7길 8 미래빌딩 5층
(지번) 명동1가 48-3
",37.5641319,126.9845364
93,425,강남면옥 정동점,3.2,48,https://place.map.kakao.com/18438679,"
서울 종로구 새문안로 38
(지번) 신문로2가 12-5
",37.5683495,126.9697567
94,426,반룡산,3.8,135,https://place.map.kakao.com/10406623,"
서울 강남구 테헤란로78길 26 1층
(지번) 대치동 894-4
",37.50447310000001,127.055795
95,427,서초면옥 서초본점,3.5,39,https://place.map.kakao.com/11892071,"
서울 서초구 반포대로28길 46 우진빌딩 1층
(지번) 서초동 1557-7
",37.4910504,127.0110163
96,430,명동함흥면옥 본점,3.6,57,https://place.map.kakao.com/7871208,"
서울 중구 명동10길 35-19
(지번) 명동2가 26-1
",37.5627334,126.9856737
97,431,평가옥 광화문점,3.1,54,https://place.map.kakao.com/12713358,"
서울 종로구 새문안로5길 19 로얄빌딩 지하1층
(지번) 당주동 5
",37.5719994,126.9742775
98,433,김인옥의 충정로함흥냉면,4.0,11,https://place.map.kakao.com/15930544,"
서울 서대문구 충정로 7 구세군빌딩 지하2층
(지번) 충정로3가 476
",37.5600861,126.9623213
99,436,해민면옥,4.1,119,https://place.map.kakao.com/1978940733,"
인천 부평구 부평대로38번길 4 1층
(지번) 부평동 212-33
",37.4946664,126.7231492
100,437,압구정면옥,4.1,110,https://place.map.kakao.com/1224432398,"
서울 강남구 압구정로30길 16 1층
(지번) 신사동 610-3
",37.5264003,127.0290338
101,440,의정부평양면옥,4.1,71,https://place.map.kakao.com/10886792,"
서울 서초구 강남대로93길 28
(지번) 잠원동 29-23
",37.5129064,127.0189231
102,441,을밀대 무교점,3.4,112,https://place.map.kakao.com/34535267,"
서울 중구 남대문로9길 40 센터플레이스 지하1층 101~104호
(지번) 다동 155
",37.5671734,126.9803139
103,442,서북면옥,3.7,303,https://place.map.kakao.com/7939102,"
서울 광진구 자양로 199-1
(지번) 구의동 80-47
",37.5453552,127.0853009
104,444,할머니냉면,3.6,188,https://place.map.kakao.com/10926416,"
서울 동대문구 왕산로37길 51
(지번) 제기동 470
",37.5822259,127.043698
105,448,수정냉면,4.3,43,https://place.map.kakao.com/16096296,"
인천 남동구 용천로17번길 40
(지번) 구월동 1211-6
",37.4511969,126.7119221
106,450,부평막국수,3.6,104,https://place.map.kakao.com/8365264,"
인천 부평구 부평대로63번길 10-8
(지번) 부평동 529-96
",37.497375,126.7217471
107,458,함흥본가면옥 건대점,3.3,85,https://place.map.kakao.com/10921559,"
서울 광진구 광나루로 456
(지번) 화양동 302-25
",37.5451706,127.0791696
108,459,백령면옥,3.6,202,https://place.map.kakao.com/10393075,"
인천 미추홀구 석정로 226
(지번) 도화동 90-9
",37.4678301,126.6604011
109,461,진남포면옥,3.4,89,https://place.map.kakao.com/8076538,"
서울 중구 다산로 108 청라빌딩 2,3층
(지번) 신당동 368-89
",37.5535091,127.0101163
110,462,능라도 본점,3.1,200,https://place.map.kakao.com/14747791,"
경기 성남시 분당구 산운로32번길 12
(지번) 운중동 883-3
",37.3921492,127.0654771
111,464,봉피양 방이점 본관,3.8,158,https://place.map.kakao.com/8364935,"
서울 송파구 양재대로71길 5
(지번) 방이동 205
",37.5100715,127.1259504
112,465,변가네옹진냉면,3.7,107,https://place.map.kakao.com/8454303,"
인천 미추홀구 한나루로586번길 92
(지번) 주안동 509-13
",37.4576033,126.6770969
113,466,육쌈냉면 상동점,3.6,12,https://place.map.kakao.com/13076243,"
경기 부천시 길주로121번길 17-28 국천빌딩 101호
(지번) 상동 536-8
",37.5067951,126.7550535
114,468,강서면옥 압구정점,3.7,82,https://place.map.kakao.com/8177726,"
서울 강남구 언주로164길 19 1,2층
(지번) 신사동 645-30
",37.5255355,127.0351169
115,471,백면옥평양냉면 연수본점,4.1,75,https://place.map.kakao.com/1206312766,"
인천 연수구 먼우금로222번길 41 파티마오피스텔 1층
(지번) 연수동 593-9
",37.4158588,126.6796186
116,474,경인면옥,3.8,182,https://place.map.kakao.com/10180951,"
인천 중구 신포로46번길 38 1,2층
(지번) 내동 154
",37.4724802,126.6281951
117,475,평가옥 역삼점,3.3,36,https://place.map.kakao.com/22424660,"
서울 강남구 논현로 519 1층, 지하1층
(지번) 역삼동 641-8
",37.502745,127.0356319
118,476,류경회관,3.9,52,https://place.map.kakao.com/1187457527,"
서울 강남구 논현로71길 18 신성타워 1층
(지번) 역삼동 790-17
",37.4948037,127.0380127
119,481,고자리냉면 본점,3.0,199,https://place.map.kakao.com/176214584,"
경기 고양시 덕양구 호국로 915-45
(지번) 성사동 624-5
",37.6644577,126.8431267
120,485,함흥면옥 압구정점,3.7,48,https://place.map.kakao.com/16617268,"
서울 강남구 논현로 826
(지번) 신사동 592-4
",37.5221892,127.0285363
121,487,오복정,4.0,23,https://place.map.kakao.com/27359765,"
서울 종로구 창신길 101
(지번) 창신동 633-5
",37.5761716,127.0103195
122,488,안양열무냉면,3.3,10,https://place.map.kakao.com/1342384648,"
경기 안양시 만안구 장내로99번길 28 1층
(지번) 안양동 711-31
",37.3968925,126.9185728
123,490,평양냉면,3.5,64,https://place.map.kakao.com/13323543,"
서울 동대문구 홍릉로 14-3
(지번) 청량리동 299
",37.5816311,127.0450144
124,491,경평면옥,3.9,54,https://place.map.kakao.com/1252572990,"
서울 강남구 삼성로104길 12
(지번) 삼성동 152
",37.5108204,127.055723
125,492,능라도 명동점,3.5,44,https://place.map.kakao.com/275730749,"
서울 중구 명동길 1-8
(지번) 명동1가 72
",37.5638688,126.9825478
126,493,영동냉면,3.9,61,https://place.map.kakao.com/21529194,"
서울 서초구 신반포로 177 반포쇼핑 3동 지하1층
(지번) 잠원동 75-23
",37.514847,127.0143281
127,494,봉산평양냉면,4.1,51,https://place.map.kakao.com/225009338,"
서울 강남구 학동로1길 21 영진빌딩 1층
(지번) 논현동 49-8
",37.5127731,127.0216396
128,497,이가면옥,4.1,35,https://place.map.kakao.com/11975982,"
서울 종로구 자하문로1길 33
(지번) 필운동 205-1
",37.5764428,126.9703935
129,501,더진미평냉,3.8,41,https://place.map.kakao.com/722848172,"
서울 서초구 서초중앙로 58 피앤디 솔로빌 지하2층
(지번) 서초동 1623-3
",37.4872397,127.0151905
130,502,소문난팔당냉면,3.4,49,https://place.map.kakao.com/13561152,"
경기 고양시 덕양구 고양대로 1588
(지번) 성사동 290-1
",37.6478315,126.8585057
131,503,신해주냉면,5.0,12,https://place.map.kakao.com/448675715,"
경기 안양시 만안구 양화로37번길 11
(지번) 안양동 957-3
",37.3966871,126.9131694
132,504,소사면옥,3.9,79,https://place.map.kakao.com/713564462,"
서울 광진구 능동로 270 윤중빌딩 1층
(지번) 능동 283-7
",37.5540374,127.0780827
133,505,황산냉면,4.3,92,https://place.map.kakao.com/17079277,"
서울 송파구 가락로 257
(지번) 방이동 136-9
",37.5109095,127.1184391
134,510,우리냉면 홍제점,4.3,19,https://place.map.kakao.com/16904406,"
서울 서대문구 통일로39가길 1
(지번) 홍제동 330-241
",37.5882764,126.9436151
135,512,대치동함흥면옥,3.0,38,https://place.map.kakao.com/21444915,"
서울 강남구 도곡로 424 지산빌딩 1층
(지번) 대치동 1023-2
",37.497234,127.0569232
